starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 13 09:35:24 2023	1702470924	0	1	1	1
Wed Dec 13 09:35:24 2023	1702470924	0	1	1	1
Wed Dec 13 09:35:24 2023	1702470924	0	1	1	1
Wed Dec 13 09:35:24 2023	1702470924	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:31 2023	1702470931	0	1	1	1
Wed Dec 13 09:35:23 2023	1702470923	0	1	1	1
Wed Dec 13 09:35:23 2023	1702470923	0	1	1	1
Wed Dec 13 09:35:23 2023	1702470923	0	1	1	1
Wed Dec 13 09:35:30 2023	1702470930	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	1	1	1
Wed Dec 13 09:35:23 2023	1702470923	0	1	1	1
Wed Dec 13 09:35:23 2023	1702470923	0	1	1	1
Wed Dec 13 09:35:23 2023	1702470923	0	1	1	1
Wed Dec 13 09:35:27 2023	1702470927	0	1	1	1
Wed Dec 13 09:35:27 2023	1702470927	0	1	1	1
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	1
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	1
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	1
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:27 2023	1702470927	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:28 2023	1702470928	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:25 2023	1702470925	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:22 2023	1702470922	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:31 2023	1702470931	0	2	2	2
Wed Dec 13 09:35:30 2023	1702470930	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:29 2023	1702470929	0	2	2	2
Wed Dec 13 09:35:23 2023	1702470923	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:24 2023	1702470924	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
Wed Dec 13 09:35:26 2023	1702470926	0	2	2	2
